ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
QNST,weekly_incremental,,W-QNST-20190117,,A+,,2019-01-11,2019-01-17,2019-01-18,0.0127660472450275,0.0202128235923615,-0.0590424865983389,0.0489361762568767,0.0542553456998518,-0.0590424865983389,A+,MT-002,2019,2019-2022,False
UPBD,monthly_only,A+001,,A+,,2019-01-31,,2019-02-04,2019-02-05,-0.012643788666017,0.030459810245115,-0.0166670020232153,0.0327584031141054,0.0614939199519921,-0.0166670020232153,A+,MT-006,2019,2019-2022,False
CDNA,monthly_only,A+002,,A+,,2019-04-30,,2019-05-02,2019-05-03,0.1487430945187167,0.2011173973108513,-0.0223463478801525,0.2053073042396949,0.2280027555327761,-0.0223463478801525,A+,MT-011,2019,2019-2022,False
ROKU,weekly_incremental,,W-ROKU-20190514,,A+,,2019-05-10,2019-05-14,2019-05-15,0.0602540306787502,0.0604960666387215,-0.0247307765338844,0.1107078204107945,0.160919481873196,-0.0247307765338844,A+,MT-013,2019,2019-2022,False
ROKU,monthly_only,A+003,,A+,,2019-05-31,,2019-06-04,2019-06-05,0.0298046639828137,0.0691674770447758,-0.0083248218148298,0.072867380426691,0.0906474760348416,-0.0083248218148298,A+,MT-014,2019,2019-2022,False
SE,monthly_only,A+004,,A+,,2019-05-31,,2019-06-04,2019-06-05,0.0531951284143021,0.0742659606863502,-0.0290155485475228,0.0797927255635706,0.1205526000620103,-0.0290155485475228,A+,MT-016,2019,2019-2022,False
UPBD,monthly_only,A+005,,A+,,2019-05-31,,2019-06-04,2019-06-05,-0.0004056133236083,0.0077079325354141,-0.0507098146823382,0.0466534276344416,0.0738339662819413,-0.0507098146823382,A+,MT-017,2019,2019-2022,False
ENPH,exact_confluence,A007,W-ENPH-20190702,A,A+,2019-06-28,2019-06-28,2019-07-02,2019-07-03,0.0653454369774522,0.1071237274679757,-0.0058918377023058,0.0814140573943369,0.1071237274679757,-0.0058918377023058,A+,MT-019,2019,2019-2022,True
ZS,monthly_only,A+006,,A+,,2019-06-28,,2019-07-02,2019-07-03,0.0521727774425915,0.0800909050604974,-0.0083375900906544,0.0358766574849214,0.0800909050604974,-0.0083375900906544,A+,MT-021,2019,2019-2022,False
GFI,weekly_incremental,,W-GFI-20191210,,A+,,2019-12-06,2019-12-10,2019-12-11,-0.0134906347350246,0.0539629911485022,-0.0151769337441221,0.1129847888010433,0.1180438460222557,-0.0185497917457166,A+,MT-030,2019,2019-2022,False
